TRT,REP,ENV,DTH,GFD,PHT,TNS,TGW,KA,KW,KL,KC,KLW,KPS,GWS
17,2,GH23,53,29,83,19.75,43.80681818,16.36361824,3.552317207,6.233452909,1.302098258,1.763437407,44,1.485
17,1,FL23,46,33,80.33333333,17.625,27.37672584,12.96247312,2.985103145,6.305429567,1.496226909,2.225502404,63.375,1.4675
17,2,FL23,47,31,73,17.25,22.15559157,14.1335123,2.80621176,6.50557965,1.553593897,2.304844716,77.125,1.692857143
18,1,GH22,34,41,58,15,37.61061947,14.73920776,3.300389109,6.100955534,1.324540911,1.856674781,28.25,1.5475
18,2,GH22,39,40,61,16.5,51.77966102,17.97936941,3.815881415,6.423711514,1.267594107,1.691298126,29.5,1.97
18,3,GH22,34,47,63,14.5,35.96638655,15.22095814,3.202714377,6.463997315,1.383126749,2.029779143,29.75,1.7075
18,1,FL22,32,24,,,,,,,,,,
18,2,FL22,33,23,,,,,,,,,,
18,1,GH23,33,38,83,21.5,41.52777778,16.40457892,3.437579643,6.520079103,1.34507875,1.910477815,54,2.4525
18,2,GH23,37,37,84,18,35.61797753,15.33355596,3.211330012,6.54236023,1.419744315,2.075546225,44.5,2.345
18,1,FL23,30,32,64,12.875,35.34351145,14.55714416,3.25805012,6.272926474,1.357765048,1.942081999,32.75,1.55875
18,2,FL23,33,33,65,12.625,32.65100671,15.09839617,3.139530159,6.284457143,1.398072253,2.019444561,37.25,1.235
19,1,GH22,44,33,73,16.5,39.40828402,16.5308548,3.319494303,6.786422153,1.404212361,2.060621228,42.25,0.985
19,2,GH22,48,39,79,19.25,40.62827225,16.60120837,3.420244418,6.616962855,1.367221255,1.963875074,47.75,1.3925
19,3,GH22,46,38,94,17.5,51.4556962,19.29845545,3.632438966,7.147269357,1.357454757,1.976003375,39.5,1.6
19,1,FL22,45,29,,,,,,,,,,
19,2,FL22,44,31,,,,,,,,,,
19,1,GH23,45,29,87,21.25,43.15533981,16.18430208,3.508342113,6.289335344,1.316507714,1.80048137,51.5,1.6575
19,2,GH23,42,28,89,21,34.94505495,15.12644688,3.537633803,5.770129033,1.280708313,1.64534938,45.5,1.725
19,1,FL23,52,26,86,16.125,30.13303769,14.78273617,3.087020574,6.352897044,1.462783791,2.136297016,56.375,1.13
19,2,FL23,43,35,84.66666667,15.5,31.83462532,14.62907357,3.129333484,6.468006668,1.417222917,2.071818593,48.375,1.25125
20,1,GH22,46,43,81,17.5,46.85185185,17.14180167,3.706583105,6.241525486,1.264184786,1.688654978,27,1.3375
20,2,GH22,44,41,92,20,49.05511811,17.53171299,3.757336211,6.35213512,1.269478145,1.695817226,31.75,1.725
20,3,GH22,42,45,102,18.5,52.63803681,19.27227438,3.851602554,6.788494047,1.292661354,1.76709111,40.75,1.84
20,1,FL22,38,28,,,,,,,,,,
20,2,FL22,37,26,,,,,,,,,,
20,1,GH23,39,30,66,15.25,45.12195122,17.02655109,3.528840412,6.55863751,1.367416509,1.925518937,30.75,2.1975
20,2,GH23,41,27,67,14.75,38.57142857,15.87410069,3.301126792,6.485005546,1.363640242,1.980808018,33.25,2.3025
20,1,FL23,37,33,99.66666667,14.25,36.04972376,15.76734793,3.353867699,6.381496595,1.434830915,1.979522513,45.25,1.23125
20,2,FL23,37,34,93.33333333,13.5,35.79617834,15.46053153,3.365848429,6.265777772,1.337620466,1.901617223,39.25,1.445
21,1,GH22,42,40,58,16.5,39,15.63507069,3.256812518,6.512333781,1.376878144,2.010009628,22.5,1.6775
21,2,GH22,40,42,70,18.5,40.61538462,16.98556672,3.325000531,7.005242784,1.42743925,2.126303351,48.75,1.445
21,3,GH22,39,49,90,17.75,51.35483871,19.41537287,3.602211334,7.331143825,1.398704659,2.044777731,38.75,1.805
21,1,FL22,36,24,,,,,,,,,,
21,2,FL22,36,25,,,,,,,,,,
21,1,GH23,38,33,102,17.75,37.66871166,15.27304907,3.41779328,6.066485888,1.304993125,1.786146655,40.75,1.275
21,2,GH23,41,37,97,14.25,40.96551724,16.21667275,3.552760399,6.134556594,1.284879739,1.740069194,36.25,1.7475
21,1,FL23,34,33,78.66666667,16,31.55913978,15.93596965,3.065949961,6.850995835,1.530849186,2.315397454,46.5,1.11375
21,2,FL23,38,37,77.33333333,13.57142857,35.37313433,15.40370067,3.188693036,6.916422315,1.451586862,2.163068506,47.85714286,1.4325
22,1,GH22,48,36,62,16.5,39.67948718,14.78622352,3.50756122,5.71245949,1.252635313,1.635980997,39,1.7
22,1,FL22,40,31,,,,,,,,,,
22,1,GH23,45,27,101,18.5,43.02631579,17.40262743,3.493057689,6.743758766,1.382845749,1.979678843,57,2.235
22,2,GH23,44,33,96,17,44.4549763,17.63775395,3.561170616,6.644432698,1.320337949,1.874404587,52.75,1.38
22,1,FL23,43,37,67.66666667,15,29,13.27072131,3.141943937,5.831444566,1.365103886,1.907033356,53.75,1.2325
23,1,GH22,43,44,66,16.5,38.62745098,15.03643801,3.487295084,5.790131291,1.253438588,1.664125507,25.5,1.165
23,2,GH22,45,39,71,19,43.77777778,15.61464789,3.640722287,5.859558381,1.251582103,1.618371063,45,1.5425
23,2,GH22,40,34,71,18,48.01724138,17.60571791,3.75769817,6.418163169,1.276048458,1.716137425,29,2.0925
23,3,GH22,37,52,82,17.5,47.05882353,17.75337469,3.68162399,6.648633789,1.310456413,1.812030702,34,1.9
23,1,FL22,34,21,,,,,,,,,,
23,2,FL22,35,21,,,,,,,,,,
23,1,GH23,38,35,96,18,40.92592593,16.12403133,3.589316028,6.101063511,1.281942834,1.712476069,40.5,1.9825
23,2,GH23,36,42,102,16.5,43.125,17.0613119,3.587317696,6.44038218,1.309353363,1.801641374,40,2.2475
23,1,FL23,34,31,78.66666667,13.375,30.54054054,14.61867216,3.100130618,6.292956434,1.383624647,1.99044953,37,1.4275
23,2,FL23,35,34,79.33333333,14.375,33.14569536,13.95029483,3.179280108,6.144792065,1.39126143,2.005235745,37.75,1.41125
24,1,GH22,49,39,65,19.5,39.05109489,14.89115407,3.413666244,5.898693084,1.286503594,1.735500149,34.25,1.34
24,2,GH22,53,37,88,21.5,45.69536424,16.89728552,3.654492861,6.331749473,1.300361968,1.742952358,37.75,1.665
24,3,GH22,47,41,63,19,46.78082192,17.45132963,3.750458908,6.38504192,1.286738569,1.707585099,36.5,2.005
